recipe_slug	score_bound
falafel	2.254150882587454
spamburger	2.158034621408312
bacon-fried-rice	1.864886283942935
chicken-fingers	2.270558891751102
apple-crisp	2.7505566771942687
cranberry-apple-crisp	2.813769501907923
bacon-chocolate-chip-cookies	1.8580844961869212
sujebi	2.314332661043954
pasta-primavera	2.182390695894997
ramen	2.4063639706607556
brownies	2.7364648488108
bacon-wrapped-scallops	1.7943876949309514
bacon-egg-muffins	1.7830830558658284
breakfast-burritos	1.806298415934696
bolognese-sauce	2.242013456707658
croissants	2.315826171804622
bacon-souffle	1.556750980286405
souffle	2.2696556120448035
chocolate-souffle	2.477321262934755
butter-croissants	2.071680576300154
pickled-green-beans	2.28876269495308
fried-oysters	2.25248774320262
peanut-butter-brownies	2.6118778582993594
almond-chip-cookies	2.612137987376148
guacamole	2.3567205222489918
brioche-bread	2.3260536773651155
brioche-bread-with-chocolate	2.637384354531771
asparagus-quiche	2.2921614794756344
asparagus-burger	2.367845707676004
ma-la-chicken	2.377684339024912
cold-noodles-with-tomatoes	2.369388138510612
tamales	2.3709513891403597
enchiladas	2.2934449946954887
tacos	2.3375880398387943
burritos	2.2583332223174577
peanut-butter-cupcakes	2.745024020106647
pickled-asparagus	2.238740039086948
chocolate-peanut-butter-cake	2.688152494938835
udon	2.2648267378610583
vegetable-lasagna	1.9705962449602699
maple-bacon-donuts	1.8100753329084944
maple-bacon-pancakes	1.7390140855437939
spinach-and-ricotta-stuffed-shells	2.0571118544809415
quesadillas	2.366064382305583
pico-de-gallo	2.2658120485934465
nachos	2.2912153173107352
cold-soba-noodles-with-tomato-and-cucumber	2.283114905088998
fajitas	2.345231300099143
loaded-nachos	2.274503351403674
lasagna	2.13925927796822
chicken-nuggets	2.339926102774412
pain-au-chocolat	2.391312790431012
nacho-dip	2.231177431718331
nacho-salad	2.332355351135412
nacho-casserole	2.2359949446284904
nacho-fries	2.3602939619151826
tempura-udon	2.276266709865687
peach-crisp	2.654402430372784
apple-pie	2.8290578906996853
blueberry-crisp	2.586108604939448
berry-crumble	2.324958503379173
strawberry-rhubarb-crisp	2.834418400446464
peach-cobbler	2.4114311988213797
cranberry-sauce	2.5226163578531633
cherry-cobbler	2.2742554317113535
apple-crumble	2.620866398411572
chocolate-croissants	2.53887976117179
french-toast	2.2243254442345224
chocolate-babka	2.829687900532699
cinnamon-babka	2.2023844870603213
blueberry-crumble	2.324117584340741
spam-musubi	2.132706990963851
taco-salad	2.3318807232759102
chiles-rellenos	2.260005795875096
almond-croissants	2.236860078338644
cranberry-relish	2.522616357853163
ma-la-beef	2.302527028871226
chocolate-cake	2.65551493751299
spinach-quiche	2.200988531647015
mushroom-quiche	2.349224522129294
quiche-lorraine	1.8157606104183808
croissant-aux-amandes	2.33123810185193
danishes	2.318611670084792
spinach-and-feta-quiche	2.262390919326604
cold-sesame-noodles	2.2811913680674363
soba-noodle-salad-with-peanut-dressing	2.2772987040467614
dan-dan-noodles	2.372676187492822
vanilla-souffle	2.332409235106334
bacon-wrapped-dates	1.7623276097380514
cherry-pie	2.658878663990779
berry-crisp	2.6140980778346212
bacon-and-egg-breakfast-sandwich	1.7723704714343351
bacon-wrapped-shrimp-skewers	1.831540103803862
bacon-wrapped-chicken	1.861757780955012
bacon-wrapped-asparagus	1.8372064783084943
bacon-mac-and-cheese	1.8315772176781138
chicken-alfredo-lasagna	2.2530628861797077
classic-beef-lasagna	2.205251367630298
vegetarian-mushroom-lasagna	2.097022880048964
spinach-and-ricotta-lasagna	2.2040244461842673
